race_id,month,venue_slug,date,race_no,banum,rank
1220260602010001,2026_06,aomori,2026-06-02,1,5,4
1220260602010001,2026_06,aomori,2026-06-02,1,6,7
1220260602010001,2026_06,aomori,2026-06-02,1,7,2
5620260531030001,2026_06,kishiwada,2026-06-02,1,1,2
5620260531030001,2026_06,kishiwada,2026-06-02,1,2,5
5620260531030001,2026_06,kishiwada,2026-06-02,1,3,1
5620260531030001,2026_06,kishiwada,2026-06-02,1,4,4
5620260531030001,2026_06,kishiwada,2026-06-02,1,5,3
5620260531030001,2026_06,kishiwada,2026-06-02,1,6,6
5620260531030001,2026_06,kishiwada,2026-06-02,1,7,7
5620260531030007,2026_06,kishiwada,2026-06-02,7,1,1
5620260531030007,2026_06,kishiwada,2026-06-02,7,2,4
5620260531030007,2026_06,kishiwada,2026-06-02,7,3,7
5620260531030007,2026_06,kishiwada,2026-06-02,7,4,6
5620260531030007,2026_06,kishiwada,2026-06-02,7,5,3
5620260531030007,2026_06,kishiwada,2026-06-02,7,6,5
5620260531030007,2026_06,kishiwada,2026-06-02,7,7,2
3120260531030001,2026_06,matsudo,2026-06-02,1,1,2
3120260531030001,2026_06,matsudo,2026-06-02,1,2,7
3120260531030001,2026_06,matsudo,2026-06-02,1,3,4
3120260531030001,2026_06,matsudo,2026-06-02,1,4,1
3120260531030001,2026_06,matsudo,2026-06-02,1,5,6
3120260531030001,2026_06,matsudo,2026-06-02,1,6,5
3120260531030001,2026_06,matsudo,2026-06-02,1,7,3
4220260601020001,2026_06,nagoya,2026-06-02,1,1,4
4220260601020001,2026_06,nagoya,2026-06-02,1,2,7
4220260601020001,2026_06,nagoya,2026-06-02,1,3,3
4220260601020001,2026_06,nagoya,2026-06-02,1,4,5
4220260601020001,2026_06,nagoya,2026-06-02,1,5,2
4220260601020001,2026_06,nagoya,2026-06-02,1,6,6
4220260601020001,2026_06,nagoya,2026-06-02,1,7,1
1220260602020001,2026_06,aomori,2026-06-03,1,1,3
1220260602020001,2026_06,aomori,2026-06-03,1,2,2
1220260602020001,2026_06,aomori,2026-06-03,1,3,7
1220260602020001,2026_06,aomori,2026-06-03,1,4,4
1220260602020001,2026_06,aomori,2026-06-03,1,5,5
1220260602020001,2026_06,aomori,2026-06-03,1,6,6
1220260602020001,2026_06,aomori,2026-06-03,1,7,1
2220260603010001,2026_06,maebashi,2026-06-03,1,1,4
2220260603010001,2026_06,maebashi,2026-06-03,1,2,2
2220260603010001,2026_06,maebashi,2026-06-03,1,3,6
2220260603010001,2026_06,maebashi,2026-06-03,1,4,5
2220260603010001,2026_06,maebashi,2026-06-03,1,5,1
2220260603010001,2026_06,maebashi,2026-06-03,1,6,3
2220260603010001,2026_06,maebashi,2026-06-03,1,7,7
4520260603010002,2026_06,toyohashi,2026-06-03,2,1,1
4520260603010002,2026_06,toyohashi,2026-06-03,2,2,2
4520260603010002,2026_06,toyohashi,2026-06-03,2,3,3
4520260603010002,2026_06,toyohashi,2026-06-03,2,4,4
4520260603010002,2026_06,toyohashi,2026-06-03,2,5,5
4520260603010002,2026_06,toyohashi,2026-06-03,2,6,6
4520260603010002,2026_06,toyohashi,2026-06-03,2,7,7
