race_id,venue_slug,date,race_no,banum,rank,san_ren_tan,san_ren_fuku
7320260804020001,komatsushima,2026-08-05,1,3,6,"6-4-7  77,800円(135)","4=6=7  15,960円(31)"
7320260804020001,komatsushima,2026-08-05,1,4,2,"6-4-7  77,800円(135)","4=6=7  15,960円(31)"
7320260804020001,komatsushima,2026-08-05,1,5,5,"6-4-7  77,800円(135)","4=6=7  15,960円(31)"
7320260804020001,komatsushima,2026-08-05,1,6,1,"6-4-7  77,800円(135)","4=6=7  15,960円(31)"
7320260804020001,komatsushima,2026-08-05,1,7,3,"6-4-7  77,800円(135)","4=6=7  15,960円(31)"
7320260804020002,komatsushima,2026-08-05,2,1,3,"2-7-1  5,950円(22)",1=2=7  650円(2)
7320260804020002,komatsushima,2026-08-05,2,2,1,"2-7-1  5,950円(22)",1=2=7  650円(2)
7320260804020002,komatsushima,2026-08-05,2,3,7,"2-7-1  5,950円(22)",1=2=7  650円(2)
7320260804020002,komatsushima,2026-08-05,2,4,5,"2-7-1  5,950円(22)",1=2=7  650円(2)
7320260804020002,komatsushima,2026-08-05,2,5,6,"2-7-1  5,950円(22)",1=2=7  650円(2)
7320260804020002,komatsushima,2026-08-05,2,6,4,"2-7-1  5,950円(22)",1=2=7  650円(2)
7320260804020002,komatsushima,2026-08-05,2,7,2,"2-7-1  5,950円(22)",1=2=7  650円(2)
7320260804020003,komatsushima,2026-08-05,3,1,7,"4-6-3  3,120円(2)",3=4=6  690円(1)
7320260804020003,komatsushima,2026-08-05,3,2,5,"4-6-3  3,120円(2)",3=4=6  690円(1)
7320260804020003,komatsushima,2026-08-05,3,3,3,"4-6-3  3,120円(2)",3=4=6  690円(1)
7320260804020003,komatsushima,2026-08-05,3,4,1,"4-6-3  3,120円(2)",3=4=6  690円(1)
7320260804020003,komatsushima,2026-08-05,3,5,6,"4-6-3  3,120円(2)",3=4=6  690円(1)
7320260804020003,komatsushima,2026-08-05,3,6,2,"4-6-3  3,120円(2)",3=4=6  690円(1)
7320260804020003,komatsushima,2026-08-05,3,7,4,"4-6-3  3,120円(2)",3=4=6  690円(1)
7320260804020004,komatsushima,2026-08-05,4,1,3,"4-5-1  10,620円(41)","1=4=5  1,330円(6)"
7320260804020004,komatsushima,2026-08-05,4,2,7,"4-5-1  10,620円(41)","1=4=5  1,330円(6)"
7320260804020004,komatsushima,2026-08-05,4,3,4,"4-5-1  10,620円(41)","1=4=5  1,330円(6)"
7320260804020004,komatsushima,2026-08-05,4,4,1,"4-5-1  10,620円(41)","1=4=5  1,330円(6)"
7320260804020004,komatsushima,2026-08-05,4,5,2,"4-5-1  10,620円(41)","1=4=5  1,330円(6)"
7320260804020004,komatsushima,2026-08-05,4,6,6,"4-5-1  10,620円(41)","1=4=5  1,330円(6)"
7320260804020004,komatsushima,2026-08-05,4,7,5,"4-5-1  10,620円(41)","1=4=5  1,330円(6)"
4220260804020001,nagoya,2026-08-05,1,1,2,5-1-4  260円(1),1=4=5  190円(1)
4220260804020001,nagoya,2026-08-05,1,2,4,5-1-4  260円(1),1=4=5  190円(1)
4220260804020001,nagoya,2026-08-05,1,3,5,5-1-4  260円(1),1=4=5  190円(1)
4220260804020001,nagoya,2026-08-05,1,4,3,5-1-4  260円(1),1=4=5  190円(1)
4220260804020001,nagoya,2026-08-05,1,5,1,5-1-4  260円(1),1=4=5  190円(1)
4220260804020001,nagoya,2026-08-05,1,6,6,5-1-4  260円(1),1=4=5  190円(1)
4220260804020001,nagoya,2026-08-05,1,7,7,5-1-4  260円(1),1=4=5  190円(1)
4220260804020002,nagoya,2026-08-05,2,1,3,"3-5-1  19,790円(52)",1=3=5  890円(5)
4220260804020002,nagoya,2026-08-05,2,2,5,"3-5-1  19,790円(52)",1=3=5  890円(5)
4220260804020002,nagoya,2026-08-05,2,3,1,"3-5-1  19,790円(52)",1=3=5  890円(5)
4220260804020002,nagoya,2026-08-05,2,4,7,"3-5-1  19,790円(52)",1=3=5  890円(5)
4220260804020002,nagoya,2026-08-05,2,5,2,"3-5-1  19,790円(52)",1=3=5  890円(5)
4220260804020002,nagoya,2026-08-05,2,6,6,"3-5-1  19,790円(52)",1=3=5  890円(5)
4220260804020002,nagoya,2026-08-05,2,7,4,"3-5-1  19,790円(52)",1=3=5  890円(5)
4220260804020003,nagoya,2026-08-05,3,1,2,"5-1-7  9,660円(31)",1=5=7  790円(2)
4220260804020003,nagoya,2026-08-05,3,2,4,"5-1-7  9,660円(31)",1=5=7  790円(2)
4220260804020003,nagoya,2026-08-05,3,3,6,"5-1-7  9,660円(31)",1=5=7  790円(2)
4220260804020003,nagoya,2026-08-05,3,4,7,"5-1-7  9,660円(31)",1=5=7  790円(2)
4220260804020003,nagoya,2026-08-05,3,5,1,"5-1-7  9,660円(31)",1=5=7  790円(2)
4220260804020003,nagoya,2026-08-05,3,6,5,"5-1-7  9,660円(31)",1=5=7  790円(2)
4220260804020003,nagoya,2026-08-05,3,7,3,"5-1-7  9,660円(31)",1=5=7  790円(2)
4220260804020004,nagoya,2026-08-05,4,1,7,"2-6-5  37,790円(100)","2=5=6  6,470円(19)"
4220260804020004,nagoya,2026-08-05,4,2,1,"2-6-5  37,790円(100)","2=5=6  6,470円(19)"
4220260804020004,nagoya,2026-08-05,4,3,5,"2-6-5  37,790円(100)","2=5=6  6,470円(19)"
4220260804020004,nagoya,2026-08-05,4,4,6,"2-6-5  37,790円(100)","2=5=6  6,470円(19)"
4220260804020004,nagoya,2026-08-05,4,5,3,"2-6-5  37,790円(100)","2=5=6  6,470円(19)"
4220260804020004,nagoya,2026-08-05,4,6,2,"2-6-5  37,790円(100)","2=5=6  6,470円(19)"
4220260804020004,nagoya,2026-08-05,4,7,4,"2-6-5  37,790円(100)","2=5=6  6,470円(19)"
