race_id,venue_slug,date,race_no,banum,rank
4220260601020003,nagoya,2026-06-02,3,7,5
4220260601020004,nagoya,2026-06-02,4,1,7
4220260601020004,nagoya,2026-06-02,4,2,1
4220260601020004,nagoya,2026-06-02,4,3,6
4220260601020004,nagoya,2026-06-02,4,4,3
4220260601020004,nagoya,2026-06-02,4,5,5
4220260601020004,nagoya,2026-06-02,4,6,2
4220260601020004,nagoya,2026-06-02,4,7,4
4220260601020005,nagoya,2026-06-02,5,1,1
4220260601020005,nagoya,2026-06-02,5,2,2
4220260601020005,nagoya,2026-06-02,5,3,4
4220260601020005,nagoya,2026-06-02,5,4,3
4220260601020005,nagoya,2026-06-02,5,5,6
4220260601020005,nagoya,2026-06-02,5,6,7
4220260601020005,nagoya,2026-06-02,5,7,5
3620260531030002,odawara,2026-06-02,2,1,4
3620260531030002,odawara,2026-06-02,2,2,5
3620260531030002,odawara,2026-06-02,2,3,1
3620260531030002,odawara,2026-06-02,2,4,3
3620260531030002,odawara,2026-06-02,2,5,2
3620260531030002,odawara,2026-06-02,2,6,6
3620260531030005,odawara,2026-06-02,5,1,5
3620260531030005,odawara,2026-06-02,5,2,3
3620260531030005,odawara,2026-06-02,5,3,6
3620260531030005,odawara,2026-06-02,5,4,2
3620260531030005,odawara,2026-06-02,5,5,1
3620260531030005,odawara,2026-06-02,5,6,4
3620260531030005,odawara,2026-06-02,5,7,7
3620260531030007,odawara,2026-06-02,7,1,2
3620260531030007,odawara,2026-06-02,7,2,4
3620260531030007,odawara,2026-06-02,7,3,6
3620260531030007,odawara,2026-06-02,7,4,7
3620260531030007,odawara,2026-06-02,7,5,3
3620260531030007,odawara,2026-06-02,7,6,1
3620260531030007,odawara,2026-06-02,7,7,5
3820260531030001,shizuoka,2026-06-02,1,1,1
3820260531030001,shizuoka,2026-06-02,1,2,7
3820260531030001,shizuoka,2026-06-02,1,3,2
3820260531030001,shizuoka,2026-06-02,1,4,6
3820260531030001,shizuoka,2026-06-02,1,5,4
3820260531030001,shizuoka,2026-06-02,1,6,3
3820260531030001,shizuoka,2026-06-02,1,7,5
3820260531030002,shizuoka,2026-06-02,2,1,5
3820260531030002,shizuoka,2026-06-02,2,2,6
3820260531030002,shizuoka,2026-06-02,2,3,4
3820260531030002,shizuoka,2026-06-02,2,4,7
3820260531030002,shizuoka,2026-06-02,2,5,1
3820260531030002,shizuoka,2026-06-02,2,6,3
3820260531030002,shizuoka,2026-06-02,2,7,2
3820260531030007,shizuoka,2026-06-02,7,1,6
3820260531030007,shizuoka,2026-06-02,7,2,2
3820260531030007,shizuoka,2026-06-02,7,3,1
3820260531030007,shizuoka,2026-06-02,7,4,4
3820260531030007,shizuoka,2026-06-02,7,5,3
3820260531030007,shizuoka,2026-06-02,7,6,7
3820260531030007,shizuoka,2026-06-02,7,7,5
5520260601020007,wakayama,2026-06-02,7,1,4
5520260601020007,wakayama,2026-06-02,7,2,1
5520260601020007,wakayama,2026-06-02,7,3,5
5520260601020007,wakayama,2026-06-02,7,4,2
5520260601020007,wakayama,2026-06-02,7,5,3
5520260601020007,wakayama,2026-06-02,7,6,7
5520260601020007,wakayama,2026-06-02,7,7,6
5520260601020008,wakayama,2026-06-02,8,1,6
5520260601020008,wakayama,2026-06-02,8,2,7
5520260601020008,wakayama,2026-06-02,8,3,2
5520260601020008,wakayama,2026-06-02,8,4,5
5520260601020008,wakayama,2026-06-02,8,5,1
5520260601020008,wakayama,2026-06-02,8,6,4
5520260601020008,wakayama,2026-06-02,8,7,3
5520260601020009,wakayama,2026-06-02,9,1,4
5520260601020009,wakayama,2026-06-02,9,2,1
5520260601020009,wakayama,2026-06-02,9,3,3
5520260601020009,wakayama,2026-06-02,9,4,6
5520260601020009,wakayama,2026-06-02,9,5,2
5520260601020009,wakayama,2026-06-02,9,6,7
5520260601020009,wakayama,2026-06-02,9,7,5
5520260601020010,wakayama,2026-06-02,10,1,1
5520260601020010,wakayama,2026-06-02,10,2,4
5520260601020010,wakayama,2026-06-02,10,3,3
5520260601020010,wakayama,2026-06-02,10,4,7
5520260601020010,wakayama,2026-06-02,10,5,2
5520260601020010,wakayama,2026-06-02,10,6,6
5520260601020010,wakayama,2026-06-02,10,7,5
1220260602020002,aomori,2026-06-03,2,1,2
1220260602020002,aomori,2026-06-03,2,2,3
1220260602020002,aomori,2026-06-03,2,3,6
1220260602020002,aomori,2026-06-03,2,4,1
1220260602020002,aomori,2026-06-03,2,5,4
1220260602020002,aomori,2026-06-03,2,6,7
1220260602020002,aomori,2026-06-03,2,7,5
1220260602020005,aomori,2026-06-03,5,1,5
1220260602020005,aomori,2026-06-03,5,2,3
1220260602020005,aomori,2026-06-03,5,3,2
1220260602020005,aomori,2026-06-03,5,4,6
1220260602020005,aomori,2026-06-03,5,5,1
1220260602020005,aomori,2026-06-03,5,6,7
1220260602020005,aomori,2026-06-03,5,7,4
2220260603010003,maebashi,2026-06-03,3,1,1
2220260603010003,maebashi,2026-06-03,3,2,5
2220260603010003,maebashi,2026-06-03,3,3,3
2220260603010003,maebashi,2026-06-03,3,4,2
2220260603010003,maebashi,2026-06-03,3,5,7
2220260603010003,maebashi,2026-06-03,3,6,4
2220260603010003,maebashi,2026-06-03,3,7,6
2220260603010005,maebashi,2026-06-03,5,1,6
2220260603010005,maebashi,2026-06-03,5,2,2
2220260603010005,maebashi,2026-06-03,5,3,4
2220260603010005,maebashi,2026-06-03,5,4,5
2220260603010005,maebashi,2026-06-03,5,5,3
2220260603010005,maebashi,2026-06-03,5,6,7
2220260603010005,maebashi,2026-06-03,5,7,1
2220260603010007,maebashi,2026-06-03,7,1,2
2220260603010007,maebashi,2026-06-03,7,2,3
2220260603010007,maebashi,2026-06-03,7,3,7
2220260603010007,maebashi,2026-06-03,7,4,1
2220260603010007,maebashi,2026-06-03,7,5,5
2220260603010007,maebashi,2026-06-03,7,6,4
2220260603010007,maebashi,2026-06-03,7,7,6
4220260601030002,nagoya,2026-06-03,2,1,2
4220260601030002,nagoya,2026-06-03,2,2,3
4220260601030002,nagoya,2026-06-03,2,3,4
4220260601030002,nagoya,2026-06-03,2,4,1
4220260601030002,nagoya,2026-06-03,2,5,5
4220260601030002,nagoya,2026-06-03,2,6,6
4220260601030002,nagoya,2026-06-03,2,7,7
4220260601030004,nagoya,2026-06-03,4,1,落
4220260601030004,nagoya,2026-06-03,4,2,落
4220260601030004,nagoya,2026-06-03,4,3,失
4220260601030004,nagoya,2026-06-03,4,4,2
4220260601030004,nagoya,2026-06-03,4,5,1
4220260601030004,nagoya,2026-06-03,4,6,3
4220260601030004,nagoya,2026-06-03,4,7,落
4220260601030010,nagoya,2026-06-03,10,1,2
4220260601030010,nagoya,2026-06-03,10,2,5
4220260601030010,nagoya,2026-06-03,10,3,1
4220260601030010,nagoya,2026-06-03,10,4,7
4220260601030010,nagoya,2026-06-03,10,5,3
4220260601030010,nagoya,2026-06-03,10,6,4
4220260601030010,nagoya,2026-06-03,10,7,6
4520260603010001,toyohashi,2026-06-03,1,1,4
4520260603010001,toyohashi,2026-06-03,1,2,2
4520260603010001,toyohashi,2026-06-03,1,3,3
4520260603010001,toyohashi,2026-06-03,1,4,1
4520260603010001,toyohashi,2026-06-03,1,5,5
4520260603010001,toyohashi,2026-06-03,1,6,6
4520260603010001,toyohashi,2026-06-03,1,7,7
4520260603010004,toyohashi,2026-06-03,4,1,1
4520260603010004,toyohashi,2026-06-03,4,2,4
4520260603010004,toyohashi,2026-06-03,4,3,6
4520260603010004,toyohashi,2026-06-03,4,4,2
4520260603010004,toyohashi,2026-06-03,4,5,5
4520260603010004,toyohashi,2026-06-03,4,6,7
4520260603010004,toyohashi,2026-06-03,4,7,3
4520260603010007,toyohashi,2026-06-03,7,1,1
4520260603010007,toyohashi,2026-06-03,7,2,2
4520260603010007,toyohashi,2026-06-03,7,3,5
4520260603010007,toyohashi,2026-06-03,7,4,3
4520260603010007,toyohashi,2026-06-03,7,5,7
4520260603010007,toyohashi,2026-06-03,7,6,4
4520260603010007,toyohashi,2026-06-03,7,7,6
